                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0882,                 4.3834,                 1.2808,                0.01452,                 0.0696,                0.02339,                0.01307,                 2.2048,                 4.2092,                 1.0778,             0.00019024,             0.00019024,             0.00019024
                      2,                 2.2146,                 3.3512,                 1.1363,                0.84682,                0.05406,                0.05742,                0.03277,                 2.2631,                 3.1247,                  1.122,             0.00038241,             0.00038241,             0.00038241
                      3,                 2.2907,                 2.9035,                  1.107,                0.69383,                0.07859,                0.06992,                0.03545,                 2.3047,                 2.6448,                 1.0826,             0.00057071,             0.00057071,             0.00057071
                      4,                 2.2128,                 2.6141,                 1.0879,                0.62293,                0.09839,                0.10041,                0.05498,                 2.1542,                 2.5253,                 1.0544,             0.00057054,             0.00057054,             0.00057054
                      5,                 2.2112,                 2.3806,                 1.0676,                0.66892,                0.10817,                0.10642,                0.06088,                 2.1369,                 2.3863,                  1.068,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.1528,                 2.1677,                 1.0575,                0.60503,                0.13135,                0.13663,                0.07837,                 2.1181,                   1.98,                 1.0543,             0.00056472,             0.00056472,             0.00056472
                      7,                  2.088,                  2.022,                 1.0478,                0.59805,                 0.1518,                0.12931,                0.07068,                 2.0445,                 1.9341,                 1.0284,             0.00055889,             0.00055889,             0.00055889
                      8,                 2.0645,                 1.9289,                 1.0299,                0.62761,                0.16694,                0.16138,                0.09336,                 2.0198,                 1.8417,                 1.0169,             0.00055307,             0.00055307,             0.00055307
                      9,                 2.0229,                 1.8435,                 1.0241,                0.47796,                0.20768,                0.17016,                0.09853,                  2.005,                 1.7803,                 1.0102,             0.00054725,             0.00054725,             0.00054725
                     10,                 2.0087,                 1.8108,                 1.0113,                0.56151,                0.19624,                0.19078,                0.11575,                 1.9773,                 1.7092,                 1.0099,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.9896,                 1.7483,                 1.0165,                0.39943,                0.25371,                0.20763,                0.12909,                 1.9431,                 1.6422,                 1.0053,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.9408,                 1.7083,                  1.014,                0.56033,                0.21735,                0.21721,                0.12683,                 2.0466,                 1.8237,                 1.0166,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.8973,                 1.6452,                 1.0009,                0.49297,                0.22128,                0.22109,                0.13633,                 1.9067,                 1.6147,                0.99516,             0.00052397,             0.00052397,             0.00052397
                     14,                  1.904,                 1.6317,                0.99009,                0.56933,                0.22571,                0.23867,                0.14204,                 1.9131,                 1.6299,                0.99804,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8927,                   1.61,                0.99851,                0.41823,                0.23687,                0.24641,                0.15452,                 1.8729,                 1.5245,                0.99998,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.9366,                 1.5962,                 1.0007,                0.52761,                0.27629,                0.27067,                0.17599,                 1.8457,                 1.5003,                0.98516,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.8749,                 1.5489,                0.99212,                 0.5836,                0.25939,                0.26488,                0.16651,                 1.8779,                 1.4944,                0.98748,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.8523,                 1.5448,                0.99058,                0.52043,                0.31193,                0.29949,                0.19376,                 1.8459,                 1.4419,                0.97847,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.8661,                 1.5111,                0.98899,                0.51303,                0.31159,                 0.3033,                0.19606,                 1.8116,                 1.4342,                0.97342,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.7934,                 1.5073,                 0.9798,                0.42687,                0.30799,                0.30013,                0.19039,                  1.797,                  1.439,                0.97446,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.8257,                 1.4815,                0.97481,                0.53854,                0.30323,                0.31549,                0.19565,                 1.8056,                 1.4437,                0.97124,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.8235,                 1.4524,                0.97514,                0.55033,                0.29811,                0.32018,                 0.2051,                 1.7818,                 1.4329,                0.96727,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.8019,                 1.4419,                 0.9755,                0.45586,                0.33281,                 0.3481,                 0.2296,                 1.7391,                 1.3291,                0.96259,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.7715,                 1.4093,                0.97137,                0.55512,                0.33116,                0.35676,                0.22976,                 1.7863,                  1.342,                0.96533,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.7731,                  1.392,                0.96669,                0.57603,                0.31941,                0.35278,                0.22974,                 1.7639,                 1.3319,                0.96178,             0.00045411,             0.00045411,             0.00045411
                     26,                  1.799,                 1.3963,                0.96808,                 0.4704,                0.35213,                 0.3603,                 0.2294,                 1.7436,                 1.3442,                0.95997,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.7846,                 1.3823,                0.96442,                0.58297,                0.32395,                0.35316,                0.22976,                 1.7751,                 1.3395,                0.96227,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.7527,                 1.3483,                0.96287,                 0.6353,                0.32369,                0.38752,                0.25302,                 1.7314,                 1.3205,                0.95745,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.7726,                 1.3723,                0.96321,                0.59731,                0.34411,                0.38264,                0.24583,                 1.7532,                 1.3192,                0.96415,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.7187,                 1.3359,                0.95715,                0.48742,                0.34618,                0.37677,                0.24056,                 1.7277,                 1.3763,                 0.9554,             0.00042501,             0.00042501,             0.00042501
                     31,                 1.7318,                 1.3445,                 0.9611,                0.45089,                 0.3905,                 0.3953,                0.25689,                 1.7869,                 1.3066,                0.96226,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.7418,                 1.3308,                0.96143,                0.58088,                0.37175,                0.40264,                0.26645,                 1.7076,                 1.2751,                0.95155,             0.00041336,             0.00041336,             0.00041336
                     33,                  1.708,                 1.2955,                0.95511,                0.55749,                0.35621,                0.39105,                0.25532,                 1.7624,                 1.3161,                0.95755,             0.00040754,             0.00040754,             0.00040754
                     34,                 1.7487,                 1.3215,                0.95694,                0.47033,                0.40287,                0.42396,                0.27484,                 1.6803,                 1.2897,                0.95336,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.6895,                  1.273,                 0.9506,                0.62742,                  0.363,                0.41509,                0.26354,                 1.7174,                 1.2582,                0.94988,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.7033,                 1.2717,                 0.9509,                0.45494,                0.42224,                0.42889,                0.27851,                 1.7071,                 1.2458,                0.95189,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.7077,                  1.275,                0.94314,                0.50225,                0.38947,                0.42692,                0.28632,                 1.6748,                 1.2215,                0.94671,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.7405,                 1.2761,                0.95648,                0.48902,                0.41039,                0.44569,                0.29503,                 1.6734,                 1.2333,                0.94664,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.6836,                 1.2398,                0.94644,                0.46156,                0.42709,                0.43845,                0.29046,                 1.6745,                 1.1908,                0.94468,             0.00037262,             0.00037262,             0.00037262
                     40,                  1.694,                 1.2416,                0.95215,                0.50449,                0.41576,                0.43386,                0.27914,                 1.6774,                  1.239,                0.94585,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.6959,                 1.2362,                0.94703,                0.50141,                0.40085,                0.45264,                0.29597,                  1.696,                 1.2174,                0.94881,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.6806,                 1.2271,                0.94305,                 0.5581,                0.42984,                0.46462,                0.30649,                 1.6638,                 1.2072,                0.94089,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.6652,                 1.2272,                0.94478,                0.55073,                0.42414,                0.45067,                0.28635,                 1.7211,                 1.1817,                0.94623,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.6808,                   1.22,                0.94152,                 0.5212,                0.46592,                0.47656,                0.30668,                 1.6723,                 1.1667,                0.94198,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.6545,                 1.1866,                0.93332,                0.56595,                0.45308,                0.48951,                 0.3238,                 1.6215,                 1.1663,                0.93516,             0.00033769,             0.00033769,             0.00033769
                     46,                  1.632,                 1.1787,                0.93974,                0.56365,                0.47227,                0.49913,                0.32966,                 1.6226,                 1.1335,                0.93645,             0.00033187,             0.00033187,             0.00033187
